graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,100,0.5,7.0,38086,0,0
gnp_random_graph,100,0.8,4.0,612,0,0
gnp_random_graph,10,0.5,4.0,12,0,0
gnp_random_graph,10,0.8,3.0,23,0,0
gnp_random_graph,20,0.5,6.0,40,0,0
gnp_random_graph,20,0.8,3.0,29,0,0
gnp_random_graph,40,0.5,6.0,310,0,0
gnp_random_graph,40,0.8,4.0,153,0,0
gnp_random_graph,80,0.5,6.0,4636,0,0
gnp_random_graph,80,0.8,4.0,377,0,0
gnp_random_graph,100,0.5,7.0,32376,0,0
gnp_random_graph,100,0.8,4.0,735,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,33,0,0
gnp_random_graph,20,0.8,4.0,36,0,0
gnp_random_graph,40,0.5,6.0,770,0,0
gnp_random_graph,40,0.8,4.0,137,0,0
gnp_random_graph,80,0.5,6.0,3331,0,0
gnp_random_graph,80,0.8,4.0,508,0,0
gnp_random_graph,100,0.5,6.0,23883,0,0
gnp_random_graph,100,0.8,4.0,638,0,0
gnp_random_graph,10,0.5,4.0,16,0,0
gnp_random_graph,10,0.8,3.0,8,0,0
gnp_random_graph,20,0.5,4.0,15,0,0
gnp_random_graph,20,0.8,3.0,14,0,0
gnp_random_graph,40,0.5,6.0,250,0,0
gnp_random_graph,40,0.8,3.0,89,0,0
gnp_random_graph,80,0.5,6.0,6410,0,0
gnp_random_graph,80,0.8,4.0,413,0,0
gnp_random_graph,100,0.5,7.0,50317,0,0
gnp_random_graph,100,0.8,4.0,868,0,0
gnp_random_graph,10,0.5,4.0,31,0,0
gnp_random_graph,10,0.8,2.0,16,0,0
gnp_random_graph,20,0.5,5.0,52,0,0
gnp_random_graph,20,0.8,3.0,37,0,0
gnp_random_graph,40,0.5,6.0,270,0,0
gnp_random_graph,40,0.8,4.0,124,0,0
gnp_random_graph,80,0.5,6.0,5179,0,0
gnp_random_graph,80,0.8,4.0,417,0,0
gnp_random_graph,100,0.5,7.0,36455,0,0
gnp_random_graph,100,0.8,4.0,489,0,0
gnp_random_graph,10,0.5,4.0,7,0,0
gnp_random_graph,10,0.8,2.0,5,0,0
gnp_random_graph,20,0.5,4.0,28,0,0
gnp_random_graph,20,0.8,2.0,28,0,0
gnp_random_graph,40,0.5,6.0,214,0,0
gnp_random_graph,40,0.8,4.0,118,0,0
gnp_random_graph,80,0.5,6.0,8275,0,0
gnp_random_graph,80,0.8,4.0,501,0,0
gnp_random_graph,100,0.5,7.0,40759,0,0
gnp_random_graph,100,0.8,4.0,806,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,53,0,0
gnp_random_graph,20,0.8,2.0,22,0,0
gnp_random_graph,40,0.5,6.0,367,0,0
gnp_random_graph,40,0.8,4.0,148,0,0
gnp_random_graph,80,0.5,6.0,5032,0,0
gnp_random_graph,80,0.8,4.0,571,0,0
