graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,40,0.8,4.0,121,0,0
gnp_random_graph,80,0.5,6.0,7874,0,0
gnp_random_graph,80,0.8,4.0,483,0,0
gnp_random_graph,100,0.5,7.0,34537,0,0
gnp_random_graph,100,0.8,4.0,578,0,0
gnp_random_graph,10,0.5,4.0,17,0,0
gnp_random_graph,10,0.8,3.0,22,0,0
gnp_random_graph,20,0.5,5.0,35,0,0
gnp_random_graph,20,0.8,2.0,32,0,0
gnp_random_graph,40,0.5,6.0,277,0,0
gnp_random_graph,40,0.8,4.0,150,0,0
gnp_random_graph,80,0.5,6.0,18224,0,0
gnp_random_graph,80,0.8,4.0,445,0,0
gnp_random_graph,100,0.5,7.0,40805,0,0
gnp_random_graph,100,0.8,4.0,615,0,0
gnp_random_graph,10,0.5,4.0,13,0,0
gnp_random_graph,10,0.8,3.0,30,0,0
gnp_random_graph,20,0.5,5.0,35,0,0
gnp_random_graph,20,0.8,3.0,44,0,0
gnp_random_graph,40,0.5,6.0,640,0,0
gnp_random_graph,40,0.8,4.0,157,0,0
gnp_random_graph,80,0.5,6.0,4642,0,0
gnp_random_graph,80,0.8,4.0,453,0,0
gnp_random_graph,100,0.5,6.0,15379,0,0
gnp_random_graph,100,0.8,4.0,570,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,5.0,30,0,0
gnp_random_graph,20,0.8,4.0,36,0,0
gnp_random_graph,40,0.5,6.0,193,0,0
gnp_random_graph,40,0.8,4.0,91,0,0
gnp_random_graph,80,0.5,7.0,9477,0,0
gnp_random_graph,80,0.8,4.0,471,0,0
gnp_random_graph,100,0.5,7.0,33247,0,0
gnp_random_graph,100,0.8,4.0,757,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,4.0,36,0,0
gnp_random_graph,20,0.8,4.0,51,0,0
gnp_random_graph,40,0.5,6.0,228,0,0
gnp_random_graph,40,0.8,4.0,129,0,0
gnp_random_graph,80,0.5,7.0,15841,0,0
gnp_random_graph,80,0.8,4.0,344,0,0
gnp_random_graph,100,0.5,6.0,25234,0,0
gnp_random_graph,100,0.8,4.0,795,0,0
gnp_random_graph,10,0.5,4.0,9,0,0
gnp_random_graph,10,0.8,2.0,18,0,0
gnp_random_graph,20,0.5,5.0,38,0,0
gnp_random_graph,20,0.8,3.0,36,0,0
gnp_random_graph,40,0.5,6.0,173,0,0
gnp_random_graph,40,0.8,4.0,143,0,0
gnp_random_graph,80,0.5,7.0,18626,0,0
gnp_random_graph,80,0.8,4.0,432,0,0
gnp_random_graph,100,0.5,7.0,29700,0,0
gnp_random_graph,100,0.8,4.0,683,0,0
gnp_random_graph,10,0.5,4.0,14,0,0
gnp_random_graph,10,0.8,3.0,16,0,0
gnp_random_graph,20,0.5,5.0,31,0,0
gnp_random_graph,20,0.8,4.0,55,0,0
gnp_random_graph,40,0.5,6.0,160,0,0
gnp_random_graph,40,0.8,4.0,139,0,0
gnp_random_graph,80,0.5,7.0,16000,0,0
gnp_random_graph,80,0.8,4.0,394,0,0
gnp_random_graph,100,0.5,7.0,34528,0,0
gnp_random_graph,100,0.8,4.0,801,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,3.0,16,0,0
gnp_random_graph,20,0.5,4.0,48,0,0
gnp_random_graph,20,0.8,3.0,47,0,0
gnp_random_graph,40,0.5,6.0,294,0,0
gnp_random_graph,40,0.8,4.0,151,0,0
gnp_random_graph,80,0.5,6.0,6719,0,0
gnp_random_graph,80,0.8,4.0,458,0,0
gnp_random_graph,100,0.5,6.0,12723,0,0
gnp_random_graph,100,0.8,4.0,766,0,0
gnp_random_graph,10,0.5,4.0,18,0,0
gnp_random_graph,10,0.8,2.0,28,0,0
gnp_random_graph,20,0.5,6.0,31,0,0
gnp_random_graph,20,0.8,4.0,58,0,0
gnp_random_graph,40,0.5,6.0,307,0,0
gnp_random_graph,40,0.8,4.0,138,0,0
gnp_random_graph,80,0.5,6.0,3124,0,0
gnp_random_graph,80,0.8,4.0,598,0,0
gnp_random_graph,100,0.5,7.0,27991,0,0
gnp_random_graph,100,0.8,4.0,681,0,0
gnp_random_graph,10,0.5,3.0,25,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,4.0,44,0,0
gnp_random_graph,20,0.8,3.0,46,0,0
gnp_random_graph,40,0.5,6.0,159,0,0
gnp_random_graph,40,0.8,4.0,149,0,0
gnp_random_graph,80,0.5,6.0,5703,0,0
gnp_random_graph,80,0.8,4.0,449,0,0
gnp_random_graph,100,0.5,6.0,26680,0,0
gnp_random_graph,100,0.8,4.0,684,0,0
gnp_random_graph,10,0.5,5.0,18,0,0
gnp_random_graph,10,0.8,3.0,16,0,0
gnp_random_graph,20,0.5,5.0,50,0,0
gnp_random_graph,20,0.8,2.0,39,0,0
gnp_random_graph,40,0.5,6.0,362,0,0
gnp_random_graph,40,0.8,4.0,161,0,0
gnp_random_graph,80,0.5,6.0,5203,0,0
gnp_random_graph,80,0.8,4.0,500,0,0
